"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1"
"00000","United States *",12761337.0,12910022.0,13142873.0,13332316.0,13603933.0,13749806.0,13867469.0,14037228.0,14208569.0,14382363.0,14535003.0,14681501.0,14651039.0,14805611.0,14835187.0,14559543.0,14394547.0,14352850.0,14420312.0,14628021.0,14721350.0,14926098.0,15079917.0,15240843.0,15285828.0,15496189.0,15591850.0,15796460.0,16019758.0,16152257.0,16257151.0,16358863.0,16569591.0,16637926.0,16848748.0,17083137.0,17104555.0,17432909.0,17721657.0,17849912.0,17984178.0,18219405.0,18344713.0,18350825.0,18424283.0,18637253.0,18806743.0,18991883.0,19190431.0,19356649.0,19611704.0,19918910.0,20163159.0,20510177.0,20749752.0,20897804.0,21098827.0,21340267.0,21542540.0,21729124.0,21539689.0
"01000","Alabama",152640.8,154962.5,156410.9,159867.4,161258.9,163487.0,164821.2,165847.3,166535.8,168952.2,171085.0,172140.4,172011.7,174002.6,174246.9,170486.2,168107.3,167629.9,168164.1,169490.8,170131.0,173366.0,177418.2,178096.8,178013.6,180126.2,182389.7,184869.6,185712.3,187142.2,185932.6,186408.8,190975.5,190556.0,192536.9,191855.6,189970.9,193552.9,196075.6,197244.7,197319.3,200574.9,202377.2,201339.5,201373.7,203904.4,204278.5,205762.8,207637.5,208359.9,210680.7,214779.5,217369.7,220572.2,223140.7,225859.4,227735.0,229939.2,232144.7,234054.2,232088.7
"02000","Alaska",37377.7,38626.0,40251.7,42843.8,42633.9,44349.8,45038.2,45719.4,46441.9,48737.4,49602.3,51108.7,52412.2,55933.6,57385.7,53278.2,50476.6,49204.5,48562.2,50100.2,51525.4,52519.9,53446.7,54038.1,53886.2,56402.1,56441.0,58310.4,57858.8,58023.9,57679.4,57118.4,57342.3,56056.8,57173.8,55918.1,55992.1,56358.6,55722.2,54020.9,51319.1,51379.8,50342.3,49525.1,48551.0,49272.9,49488.5,50141.4,51099.7,51274.0,52060.2,52778.4,53563.0,54372.7,55410.0,55590.6,54941.4,55494.6,55429.6,55758.7,53966.4
"04000","Arizona",219858.1,225360.6,232317.0,235388.9,242446.7,245035.7,250166.7,255273.5,257952.0,261341.6,265246.0,264748.5,262590.9,261815.6,259923.5,253136.8,246491.2,242639.5,241157.0,245430.0,243046.2,246941.1,249806.6,253045.9,253385.8,255954.1,258524.2,263927.2,266136.4,268498.6,268334.3,270186.0,272513.9,273510.7,275886.9,278884.8,279952.2,282801.6,286664.1,288302.0,292638.8,296703.9,297624.0,301597.9,303204.1,309686.4,314650.2,316823.4,321355.3,323650.6,330533.4,334443.7,340672.6,345474.0,351708.8,355332.9,359404.7,364276.6,368556.3,372521.8,370659.6
"05000","Arkansas",87649.0,88454.8,89852.8,92483.4,92757.3,94743.5,94987.3,95050.0,94053.5,95510.3,96413.5,101815.4,97293.1,99762.3,100111.0,98654.9,98619.2,95161.5,96293.3,98161.7,97882.2,101230.4,103464.0,104183.4,104700.8,105675.0,106550.9,107414.8,108827.2,108904.2,108637.4,108611.9,113600.4,113641.8,114896.5,114867.1,115548.5,117137.0,117906.1,118755.4,116942.0,118357.4,119892.3,119853.2,119224.5,120533.6,120347.4,121393.7,122495.4,122930.1,123059.0,125047.7,126088.8,128352.5,129032.8,130201.5,131038.0,132438.3,134022.1,135225.0,133965.6
"06000","California",1711573.3,1734383.7,1771679.5,1797828.4,1852200.0,1859177.9,1883269.3,1904301.9,1916188.9,1940770.5,1966137.7,2000327.0,1971753.2,2012750.2,2019835.1,1958374.3,1946951.6,1912526.5,1903464.3,1917304.9,1942648.5,1959030.0,1972332.3,2024447.3,2030621.9,2047761.8,2054554.0,2067289.5,2110366.4,2125748.5,2149461.7,2192412.4,2203605.7,2231370.7,2273105.2,2343003.1,2329114.5,2372268.1,2429647.3,2449619.5,2503944.7,2559187.2,2574128.9,2577828.2,2618837.1,2637628.3,2672126.3,2702598.9,2744565.4,2791563.5,2838905.5,2901408.2,2928096.5,2992622.8,3017340.5,3052871.3,3087669.4,3123731.5,3155223.7,3183251.3,3164380.4
"08000","Colorado",215478.2,218305.0,222591.4,223256.9,228383.5,228830.1,233325.9,234284.1,237999.4,243746.7,247755.1,254672.7,252677.0,258252.8,259015.8,252321.8,249851.6,245713.0,248103.5,250706.5,251071.9,252281.3,255674.6,261534.0,260696.3,263665.8,265350.5,268013.8,270562.4,272837.5,273457.3,277220.8,283479.7,285160.9,290188.1,294391.9,298528.9,304047.1,309360.2,314348.5,314437.6,317821.2,320181.6,321779.0,319966.4,326151.0,332951.7,338404.0,341820.5,345767.4,353032.7,359397.0,362721.2,370476.6,375311.6,378488.8,383690.3,388730.8,392347.5,396366.9,392477.4
"09000","Connecticut",205719.4,207684.4,208848.3,212812.7,221193.2,221103.8,222710.6,226548.9,236127.6,237679.2,239107.0,237256.9,246890.1,243012.4,240770.1,232971.0,237327.0,235371.1,235483.2,237391.6,235511.2,238349.1,239031.0,237722.5,233018.5,237031.8,237298.2,238746.2,241260.8,243246.5,244262.7,246433.8,245547.0,245406.1,247673.9,247901.2,243620.4,247035.2,250531.5,254273.8,257686.5,260496.3,260660.9,261446.7,262478.0,264047.2,263601.2,264659.2,264429.9,268292.0,269571.0,270949.3,272854.5,273884.5,278294.5,277874.1,281659.3,284357.4,287560.1,288984.7,287710.5
"10000","Delaware",51061.6,50102.0,50462.4,56990.2,54369.6,55591.9,55397.0,54911.2,55818.8,57440.0,56282.2,55572.8,55053.5,55105.7,54998.4,53992.5,56579.7,57183.5,57326.8,56394.9,57422.7,56716.6,57406.1,58244.4,59077.0,59927.1,61161.6,61263.7,62853.7,62332.0,61945.9,60771.4,59776.8,59594.7,60174.3,63118.4,63919.6,66402.8,68203.2,69038.3,70549.0,72412.2,70663.6,70252.7,68557.4,69531.5,69756.4,70353.4,70780.6,69899.0,71193.2,71226.4,72091.2,73024.7,74461.4,74348.1,74270.2,75216.3,75765.4,76410.2,76085.6
"11000","District of Columbia",84079.4,85135.0,85721.2,86283.9,87382.9,87900.6,89616.3,89168.9,91504.0,92402.6,95873.5,96099.9,98573.4,98855.9,99865.3,100619.3,99798.6,101040.5,100843.6,101895.8,103529.2,106093.6,106727.5,108131.0,108718.0,109796.4,110778.7,111011.7,111586.8,112977.9,113187.0,113194.1,114163.7,114095.3,114566.8,116738.2,118011.9,118903.7,120504.9,121943.4,124022.8,125514.6,125439.5,125870.6,128486.8,129630.9,129811.8,131374.8,132033.7,132642.5,135881.7,135612.8,138469.2,139579.6,141968.8,142626.2,144074.8,145475.7,146995.5,148231.1,148084.9
